,,,model,task,pe_technique,correct,total,accuracy,created_at,mean_length,median_length,std_length,min_length,max_length,mean_time_taken,median_time_taken,std_time_taken,min_time_taken,max_time_taken,total_time_taken
gemini-pro-chat,halueval-summarization,zero-shot,gemini-pro-chat,halueval-summarization,zero-shot,6611,10000,66.11,2024-04-11-10-29-50,2.1212,2,0.5284984011328497,0,3,1.8907819240805692,1.6813181000761688,0.7350989310444158,0.495727599831298,5.982091299956664,18907.819240805693
gemini-pro-chat,halueval-summarization,null-shot,gemini-pro-chat,halueval-summarization,null-shot,6603,10000,66.03,2024-04-11-15-51-52,2.1191,2,0.5275558643404684,0,3,1.9351858962701867,1.7071241000667214,0.7825869864648258,0.5017762999050319,6.751912700012326,19351.858962701866
gemini-pro-chat,race-m,zero-shot,gemini-pro-chat,race-m,zero-shot,1215,1436,84.6100278551532,2024-02-11-20-55-21,26.435236768802227,23,18.61074990031348,0,104,2.5551965645560477,1.3576677001547068,3.101296625896403,0.8338597998954356,23.777915599988773,3669.2622667024843
gemini-pro-chat,race-m,null-shot-cot,gemini-pro-chat,race-m,null-shot-cot,1179,1436,82.10306406685237,2024-02-11-20-55-24,59.32660167130919,28,100.81059982007689,0,1284,1.6664580088450889,1.4362908999901265,0.9014185896435275,0.8308796000201255,18.44748770003207,2393.033700701548
gemini-pro-chat,race-m,zero-shot-cot,gemini-pro-chat,race-m,zero-shot-cot,1207,1436,84.05292479108635,2024-02-11-20-55-23,36.27576601671309,24,64.90821029491553,0,900,1.5533708878108599,1.2627013998571783,1.3827623455124396,0.8553618998266757,44.759929299820215,2230.6405948963948
gemini-pro-chat,race-m,null-shot,gemini-pro-chat,race-m,null-shot,1224,1436,85.23676880222841,2024-02-11-20-55-22,27.301532033426184,23,21.343627698573766,0,379,1.6070366450538405,1.2887927000410855,2.119579815748353,0.868171300040558,58.12120130006224,2307.704622297315
gemini-pro-chat,strategyqa,zero-shot,gemini-pro-chat,strategyqa,zero-shot,1548,2290,67.59825327510917,2024-02-11-20-55-03,7.314847161572052,8,1.6018541653450993,0,8,1.244212226987121,1.015684800222516,0.6911201351794987,0.21729879989288747,8.4395719000604,2849.245999800507
gemini-pro-chat,strategyqa,null-shot-cot,gemini-pro-chat,strategyqa,null-shot-cot,24,2290,1.0480349344978166,2024-02-11-20-55-07,127.84279475982532,136,39.81427080677123,0,577,1.551179745677944,1.3156704001594335,0.6977840475259471,0.21426989999599755,8.509144200012088,3552.2016176024918
gemini-pro-chat,strategyqa,zero-shot-cot,gemini-pro-chat,strategyqa,zero-shot-cot,1521,2290,66.41921397379913,2024-02-11-20-55-06,9.924890829694323,8,21.552890982516494,0,279,1.1397725215248813,0.9570265000220388,0.562255059466224,0.2004366999026388,8.573770700022578,2610.079074291978
gemini-pro-chat,strategyqa,null-shot,gemini-pro-chat,strategyqa,null-shot,1155,2290,50.43668122270743,2024-02-11-20-55-04,44.0589519650655,8,61.51194381654301,0,270,1.3384968065049736,1.1391972999554127,0.7191083765506454,0.2178092000540346,10.658151099923998,3065.1576868963894
gemini-pro-chat,winogrande,zero-shot,gemini-pro-chat,winogrande,zero-shot,807,1267,63.69376479873717,2024-02-11-20-55-28,8.599842146803473,8,2.5102976501537233,0,21,1.3493164297536562,1.0698741001542658,0.7782092720115369,0.7580921999178827,10.539428200107068,1709.5839164978825
gemini-pro-chat,winogrande,null-shot-cot,gemini-pro-chat,winogrande,null-shot-cot,3,1267,0.23677979479084454,2024-02-11-20-55-30,128.33307024467246,126,29.01720150045001,0,525,3.1184980416752768,1.3828795000445098,3.611656723425003,0.8392095000017434,28.097013800172135,3951.1370188025758
gemini-pro-chat,winogrande,zero-shot-cot,gemini-pro-chat,winogrande,zero-shot-cot,791,1267,62.430939226519335,2024-02-11-20-55-29,23.773480662983424,9,286.9296243064097,0,10132,2.4234014706393583,1.1385426002088934,3.1003822337184173,0.7764844000339508,28.43333590007387,3070.449663300067
gemini-pro-chat,winogrande,null-shot,gemini-pro-chat,winogrande,null-shot,798,1267,62.98342541436463,2024-02-11-20-55-28,15.920284135753748,9,30.808430522136984,0,217,1.4027577988213868,1.1285703000612557,0.8286213545910892,0.7745656000915915,9.402594499988481,1777.294131106697
gemini-pro-chat,math-pre-algebra,zero-shot,gemini-pro-chat,math-pre-algebra,zero-shot,278,871,31.917336394948336,2024-04-30-16-39-46,21.836969001148105,15,74.01308452911105,9,2054,0.957653660389213,0.8896661996841431,0.9880177054345483,0.749314300250262,29.584799399599433,834.1163381990045
gemini-pro-chat,math-pre-algebra,null-shot-cot,gemini-pro-chat,math-pre-algebra,null-shot-cot,416,871,47.76119402985074,2024-04-30-17-46-39,299.5545350172216,247,280.01398431452577,0,4015,2.5272412196365233,2.1715363999828696,2.079924412198563,0.8190856999717653,29.773605099879205,2201.227102303412
gemini-pro-chat,math-pre-algebra,zero-shot-cot,gemini-pro-chat,math-pre-algebra,zero-shot-cot,345,871,39.60964408725603,2024-04-30-17-16-37,199.56142365097588,140,319.5079678504159,0,7135,1.9687364723300294,1.6867400002665818,2.1323042511549204,0.7759817000478506,30.23113889992237,1714.7694673994556
gemini-pro-chat,math-pre-algebra,null-shot,gemini-pro-chat,math-pre-algebra,null-shot,301,871,34.55797933409874,2024-04-30-16-57-00,52.601607347876005,15,260.15357285071235,9,6584,1.1508235943826592,0.9122819998301566,1.7690749870971407,0.7698224000632763,30.57281980011612,1002.3673507072963
gemini-pro-chat,math-int-algebra,zero-shot,gemini-pro-chat,math-int-algebra,zero-shot,134,903,14.839424141749724,2024-04-30-12-59-00,62.25802879291251,15,218.15194009981894,9,3456,1.2806963713139354,0.8893170999363065,1.9766429429607144,0.7611462995409966,30.095313700381666,1156.4688232964836
gemini-pro-chat,math-int-algebra,null-shot-cot,gemini-pro-chat,math-int-algebra,null-shot-cot,117,903,12.956810631229235,2024-04-30-14-54-35,811.7585825027686,502,935.3737998697736,0,5391,6.938938510298919,4.244139200076461,7.764784181563441,0.7919379002414644,31.460810199845582,6265.861474799924
